Weekly U.S. Days of Supply of Crude Oil excluding SPR
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=W_EPC0_VSD_NUS_DAYS&f=W
08:39:10 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Week of,Weekly U.S. Days of Supply of Crude Oil excluding SPR Number of Days
11/18/1988,25.1
11/11/1988,24.4
11/4/1988,24.6
10/28/1988,24.2
10/21/1988,23.9
10/14/1988,23.7
10/7/1988,23.3
09/30/1988,22.9
09/23/1988,22.2
09/16/1988,22.1
09/9/1988,22.4
09/2/1988,22.7
08/26/1988,23.2
08/19/1988,23.6
08/12/1988,23.9
08/5/1988,24.2
07/29/1988,24.4
07/22/1988,24.5
07/15/1988,24.8
07/8/1988,25.3
07/1/1988,25.4
06/24/1988,25.2
06/17/1988,25.5
06/10/1988,25.1
06/3/1988,25.4
05/27/1988,25.6
05/20/1988,26
05/13/1988,25.9
05/6/1988,25.8
04/29/1988,25.5
04/22/1988,25.7
04/15/1988,25.4
04/8/1988,25.5
04/1/1988,25.2
03/25/1988,25.2
03/18/1988,25.6
03/11/1988,25.5
03/4/1988,25.5
02/26/1988,25.4
02/19/1988,24.9
02/12/1988,24.1
02/5/1988,24.4
01/29/1988,24.3
01/22/1988,24.5
01/15/1988,24.4
01/8/1988,24.3
01/1/1988,25.3
12/25/1987,25.8
12/18/1987,26
12/11/1987,26
12/4/1987,25.9
11/27/1987,26
11/20/1987,26.4
11/13/1987,26.3
11/6/1987,26.1
10/30/1987,25.8
10/23/1987,24.7
10/16/1987,24.2
10/9/1987,23.8
10/2/1987,23.7
09/25/1987,23.8
09/18/1987,23.5
09/11/1987,23.4
09/4/1987,23.5
08/28/1987,23.2
08/21/1987,23.2
08/14/1987,22.7
08/7/1987,22.4
07/31/1987,22.8
07/24/1987,22.4
07/17/1987,22.1
07/10/1987,22.6
07/3/1987,23.1
06/26/1987,23.3
06/19/1987,23.4
06/12/1987,23.6
06/5/1987,23.8
05/29/1987,24
05/22/1987,24.7
05/15/1987,24.4
05/8/1987,24.4
05/1/1987,24.6
04/24/1987,23.7
04/17/1987,24
04/10/1987,24.9
04/3/1987,25.9
03/27/1987,25.8
03/20/1987,26.3
03/13/1987,25.7
03/6/1987,25.7
02/27/1987,25.5
02/20/1987,25.2
02/13/1987,25
02/6/1987,24.8
01/30/1987,24.7
01/23/1987,24
01/16/1987,24.1
01/9/1987,24.8
01/2/1987,24
12/26/1986,23.9
12/19/1986,24.7
12/12/1986,24.8
12/5/1986,24.7
11/28/1986,25
11/21/1986,24.9
11/14/1986,25.2
11/7/1986,24.8
10/31/1986,25.8
10/24/1986,25.2
10/17/1986,25.2
10/10/1986,24.3
10/3/1986,24.2
09/26/1986,23.6
09/19/1986,23
09/12/1986,23.2
09/5/1986,23
08/29/1986,23.5
08/22/1986,23.4
08/15/1986,23.7
08/8/1986,24
08/1/1986,24.5
07/25/1986,24
07/18/1986,23.6
07/11/1986,22.8
07/4/1986,22.7
06/27/1986,22.7
06/20/1986,22.6
06/13/1986,22.3
06/6/1986,23.3
05/30/1986,23.1
05/23/1986,23.8
05/16/1986,23.7
05/9/1986,24.6
05/2/1986,25.5
04/25/1986,25.3
04/18/1986,26.3
04/11/1986,27.2
04/4/1986,27.2
03/28/1986,28
03/21/1986,27
03/14/1986,26.4
03/7/1986,26.3
02/28/1986,25.9
02/21/1986,24.9
02/14/1986,25.3
02/7/1986,25.4
01/31/1986,24.2
01/24/1986,24.4
01/17/1986,23.7
01/10/1986,23.9
01/3/1986,24.4
12/27/1985,23.8
12/20/1985,24
12/13/1985,23.7
12/6/1985,24
11/29/1985,23.7
11/22/1985,23.6
11/15/1985,23.4
11/8/1985,23.5
11/1/1985,23.5
10/25/1985,24.2
10/18/1985,24.1
10/11/1985,25
10/4/1985,24.4
09/27/1985,24.3
09/20/1985,24.2
09/13/1985,24.5
09/6/1985,24.4
08/30/1985,24.6
08/23/1985,24.1
08/16/1985,24.8
08/9/1985,24.8
08/2/1985,24.2
07/26/1985,24.4
07/19/1985,25
07/12/1985,25.2
07/5/1985,25.8
06/28/1985,26.4
06/21/1985,26.9
06/14/1985,27.2
06/7/1985,27.3
05/31/1985,27.5
05/24/1985,28
05/17/1985,27.6
05/10/1985,27.6
05/3/1985,28
04/26/1985,27.4
04/19/1985,26.6
04/12/1985,26.4
04/5/1985,26.4
03/29/1985,27.4
03/22/1985,27.3
03/15/1985,26.9
03/8/1985,26.5
03/1/1985,26
02/22/1985,25.7
02/15/1985,25.8
02/8/1985,26.4
02/1/1985,26.8
01/25/1985,27.5
01/18/1985,28.1
01/11/1985,27.6
01/4/1985,26.9
12/28/1984,26.9
12/21/1984,26.4
12/14/1984,27.2
12/7/1984,26.4
11/30/1984,26.6
11/23/1984,27.1
11/16/1984,27.3
11/9/1984,26.6
11/2/1984,25.7
10/26/1984,26.4
10/19/1984,25.8
10/12/1984,25.9
10/5/1984,25
09/28/1984,24.7
09/21/1984,24.4
09/14/1984,25.3
09/7/1984,25.5
08/31/1984,25.7
08/24/1984,26.3
08/17/1984,26.3
08/10/1984,27.2
08/3/1984,27.2
07/27/1984,27.1
07/20/1984,27.8
07/13/1984,27
07/6/1984,26.8
06/29/1984,27.1
06/22/1984,26.4
06/15/1984,27
06/8/1984,27.3
06/1/1984,27.4
05/25/1984,27.4
05/18/1984,28.2
05/11/1984,27.7
05/4/1984,27.3
04/27/1984,26.8
04/20/1984,27.5
04/13/1984,27.7
04/6/1984,27.1
03/30/1984,25.8
03/23/1984,25.6
03/16/1984,25.6
03/9/1984,25.7
03/2/1984,26.2
02/24/1984,26.2
02/17/1984,26.8
02/10/1984,26.7
02/3/1984,27.1
01/27/1984,28.3
01/20/1984,29.3
01/13/1984,29.9
01/6/1984,29.4
12/30/1983,28.7
12/23/1983,27.4
12/16/1983,27.9
12/9/1983,27.7
12/2/1983,27.2
11/25/1983,28.2
11/18/1983,28.4
11/11/1983,29
11/4/1983,28.7
10/28/1983,27.4
10/21/1983,27.7
10/14/1983,27.5
10/7/1983,26.6
09/30/1983,26
09/23/1983,25.9
09/16/1983,26.3
09/9/1983,26.3
09/2/1983,26.8
08/26/1983,26.4
08/19/1983,25.7
08/12/1983,25.2
08/5/1983,25.7
07/29/1983,26
07/22/1983,26
07/15/1983,26.1
07/8/1983,26.4
07/1/1983,27.1
06/24/1983,27
06/17/1983,27.4
06/10/1983,27.9
06/3/1983,28.2
05/20/1983,29.7
05/13/1983,29.6
04/29/1983,30.1
04/15/1983,30.3
04/8/1983,30.1
04/1/1983,30.2
03/25/1983,30.9
03/18/1983,31
03/11/1983,31.6
03/4/1983,31.2
02/25/1983,32.1
02/18/1983,31.3
02/11/1983,30.8
02/4/1983,29.8
01/28/1983,29.9
01/21/1983,28.4
01/14/1983,28.7
01/7/1983,27.7
12/31/1982,28.1
12/24/1982,28.9
12/17/1982,29.1
12/10/1982,28.7
12/3/1982,28.1
11/26/1982,27.8
11/19/1982,28
11/12/1982,27.6
11/5/1982,28
10/29/1982,28
10/22/1982,27.8
10/15/1982,26.8
10/8/1982,27.6
10/1/1982,27.7
09/24/1982,28.9
